T, K(cr), K(L), KOH(a), KOH(b), KOH(L), K2O2(s), K2O(s), KO2(s), H2O(s), H2O(L), Electron, H, H+, H-, HO2, H2, H2+, H2-, H2O, H2O+, H2O2, H3O+, K, K+, KH, KO, KO-, KOH, KOH+, K2, K2O2H2, O, O+, O-, OH, OH+, OH-, O2, O2+, O2-, O3, 
350.0, 0.0, 0.0, 1.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18119557129815692, 1.0746606000576843e-46, 1.2219875380647556e-30, 1.9168381804055794e-180, 2.1965235814312228e-66, 1.4732685988162158e-72, 0.8350000000000003, 5.0117327876076588e-176, 1.7702406250521121e-82, 0.58880442870184324, 5.7538836328608633e-136, 1.3621887794855629e-53, 2.2594023147806673e-82, 3.3884157987289072e-30, 1.0746606000582461e-46, 7.780851398159597e-37, 9.6156537557175755e-63, 2.3050883616347978e-79, 5.0182037655427752e-21, 4.3079438004373338e-82, 2.0137812194665746e-55, 9.1759767323867778e-21, 1.2942752726146873e-68, 1.2187462770819967e-218, 5.3235474961343865e-94, 1.1967307977653427e-39, 3.7997121822684762e-179, 3.1643401324332357e-60, 2.111483198375542e-68, 4.8544371004356994e-196, 3.0384748670368342e-108, 4.5338164022474031e-127, 
400.0, 0.0, 0.0, 1.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4179198583927094e-40, 1.5439098298173587e-26, 3.5861000975672133e-158, 2.4619443338092261e-57, 5.0168128674931243e-63, 0.8350000000000003, 1.45224414475243e-154, 1.1509594738400717e-71, 0.77000000000000002, 1.8984221780286243e-119, 7.1516653933018641e-47, 4.7156046703482961e-73, 3.3510573760174078e-25, 3.4179198584019725e-40, 3.0874370690993164e-31, 1.939970855153256e-53, 1.5339593191076065e-67, 2.0456272136639256e-17, 2.8359697385037652e-71, 1.675042324135964e-46, 3.7509306827531392e-17, 2.9109791414666375e-59, 4.2911092262844382e-191, 5.588436251619125e-81, 3.0235695156623939e-34, 7.8494305431964742e-157, 8.2739761186487265e-52, 4.5761893669110265e-59, 2.9000264681919487e-171, 2.2223257841695878e-93, 1.8830204465651915e-110, 
450.0, 0.0, 0.0, 1.0299999999999485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8211868352359109e-35, 2.306553984782496e-23, 7.0028180241269334e-141, 2.6936590672824065e-50, 8.3550306090500324e-56, 0.83500000000000019, 6.8967240581229576e-138, 3.0776185776006448e-63, 0.77000000000000002, 1.0457072728897227e-106, 8.036861328863294e-42, 6.7260237179398803e-66, 2.6155188017921198e-21, 3.8211868354735892e-35, 7.405045031762059e-27, 2.814817932561605e-46, 2.1008486974869107e-58, 1.1563703369359106e-14, 6.2441181936877365e-63, 1.6384303715931058e-39, 2.0068121664550743e-14, 4.1564088592396398e-52, 8.3531968864470635e-170, 5.9143743519214976e-71, 3.7919357999545642e-30, 1.351579611980231e-139, 2.3821234931530233e-45, 5.1843236207912634e-52, 3.233932258032332e-152, 5.2326886058956582e-82, 8.1063621623220927e-98, 
500.0, 0.0, 0.0, 1.0299999999925753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1394073730439807e-31, 8.0538394885482122e-21, 4.9826121669719816e-127, 1.1195983107361986e-44, 5.0895125198105151e-50, 0.83500000000000008, 1.5713640165228638e-124, 1.6393717688040408e-56, 0.76999999999999991, 1.6927492708335986e-96, 8.9199349182470279e-38, 3.6455088645754232e-60, 3.2460223695505388e-18, 4.1394073764857738e-31, 2.2499596785457031e-23, 1.4620425882044713e-40, 3.9968175066349455e-51, 1.7820461674684683e-12, 2.9653698431662548e-56, 5.8182519592422245e-34, 2.8213688694515757e-12, 2.2476639821436436e-46, 9.5131580710326381e-153, 6.0915660622395852e-63, 7.2951262276887742e-27, 8.7316260015596956e-126, 3.4163870608376969e-40, 2.3417762575974481e-46, 5.9595979945651975e-137, 6.5021773513076203e-73, 1.079323030163449e-87, 
550.0, 0.0, 0.0, 0.0, 1.0299999996527724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8335990784742094e-28, 9.76317057754452e-19, 1.169489221863682e-115, 4.1219366414573226e-40, 2.7917039132673063e-45, 0.83499999999999974, 1.444147817557685e-113, 4.8424590629368721e-51, 0.77000000000000091, 4.1289384237355461e-88, 1.8382389834018923e-34, 1.9198066519783094e-55, 9.6492839085560325e-16, 7.8335991312861415e-28, 1.3892862514344522e-20, 6.1397293269912199e-36, 2.9535624057124981e-45, 9.7237825181348244e-11, 8.238439602868032e-51, 1.5429768574448592e-29, 1.2499462021203255e-10, 1.1211770959189123e-41, 9.4342955126422933e-139, 2.0602521481871393e-56, 3.5836692307440849e-24, 1.8992472935210914e-114, 5.2807741613551292e-36, 1.0125137070167758e-41, 2.0334112535756549e-124, 1.6988951346939639e-65, 2.1420764508831756e-79, 
600.0, 0.0, 0.0, 0.0, 1.0299999923053718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.101404473211048e-25, 5.3499726136854735e-17, 3.6812978729309731e-106, 2.52611592321011e-36, 2.514223525971346e-41, 0.83499999999994845, 2.0714388840299359e-104, 1.6772713864691619e-46, 0.77000000000010305, 4.2225801790758263e-81, 1.0712993285450451e-31, 1.7181427874694748e-51, 1.0314511561869319e-13, 4.1014046305401812e-25, 2.7287107769199216e-18, 4.1003507403751488e-32, 2.0547125964370529e-40, 2.5550718804358456e-09, 2.7842274095517445e-46, 6.4502200180282586e-26, 2.56972675128282e-09, 9.3423345077551512e-38, 4.6147846116077848e-127, 5.5029693792628633e-51, 6.3153301194827422e-22, 5.6221952033566997e-105, 1.5730386917863045e-32, 7.516130388082411e-38, 6.0218328612703108e-114, 2.5078145047809049e-59, 1.8084526698766836e-72, 
650.0, 0.0, 0.0, 0.0, 1.0299998967757884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.1473973976802687e-23, 1.5910164692479649e-15, 4.1151711813230483e-98, 3.9778660341355133e-33, 5.6354047343240087e-38, 0.83499999999738639, 1.1864665925797009e-96, 1.1408451714375888e-42, 0.77000000000522573, 3.6870505975898051e-75, 2.3622876832725526e-29, 3.8575607176134634e-48, 5.2254568665335662e-12, 8.1473987449088829e-23, 2.3123824616683011e-16, 6.9214599397938542e-29, 2.464468136836415e-36, 3.9798645825885467e-08, 1.89562672577972e-42, 7.0551345907759334e-23, 3.1710170084500025e-08, 1.9622767654428891e-34, 3.7099663599409548e-117, 2.1259310978152412e-46, 5.05297021735988e-20, 5.9744931801865616e-97, 1.3468305862174037e-29, 1.4359277645174798e-34, 4.5249069288333508e-105, 4.1359572510190293e-54, 1.3426673328033947e-66, 
700.0, 0.0, 0.0, 0.0, 0.0, 1.0299991263880524, 0.0, 0.0, 0.0, 0.0, 0.0, 7.390987976913747e-21, 2.9260978577317782e-14, 3.4107300899139265e-91, 2.1076288084004942e-30, 4.2315698933785743e-35, 0.83499999992949647, 5.5278714232247138e-90, 2.114835058889907e-39, 0.77000000014096914, 4.7571214457343212e-70, 2.4264017638103413e-27, 2.9876056478326785e-45, 1.4095937687021411e-10, 7.3909922146142272e-21, 9.6946472268852178e-15, 3.7930877707950044e-26, 6.9561659566733475e-33, 3.9323422474671323e-07, 3.5812790970895833e-39, 2.4668928247870523e-20, 2.4011837704560166e-07, 1.3941907719142856e-31, 1.2061895468751273e-108, 1.757923347615694e-42, 2.1723351873678346e-18, 4.7456853726492318e-90, 4.2355856444845637e-27, 9.4299108198526082e-32, 1.9335688668317028e-97, 1.1914254428792975e-49, 1.4730010622083591e-61, 
750.0, 0.0, 0.0, 0.0, 0.0, 1.0299949619363626, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5509389043729281e-19, 3.662771536505253e-13, 3.5527226472740555e-85, 4.6349730257524086e-28, 1.3237796032216768e-32, 0.83499999886972576, 3.4872865913947468e-84, 1.3752481585163977e-36, 0.77000000225995413, 1.3396173310085721e-65, 1.3520919892272744e-25, 9.9578611762099148e-43, 2.259726594116255e-09, 3.5509448378189982e-19, 2.2779032386798755e-13, 8.3098614038206788e-24, 6.0215158976798691e-30, 2.6544595557984438e-06, 2.4038730466996159e-36, 3.353553365545713e-18, 1.1906720636884903e-06, 4.1580522924362011e-29, 3.0329182127348029e-101, 4.1988491702774869e-39, 5.6784547488600038e-17, 4.7672574425611074e-84, 5.9287273298156443e-25, 2.6325973837283732e-29, 8.3914273532237218e-91, 8.4226229752871714e-46, 3.49447152055353e-57, 
800.0, 0.0, 0.0, 0.0, 0.0, 1.02997669944768, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0466592336862068e-17, 3.3532129656863592e-12, 6.6663093034606247e-80, 5.1325726114656725e-26, 2.0319272581034486e-30, 0.83499998743764403, 4.2118090063884262e-79, 3.9290008298866549e-34, 0.77000002511781984, 1.0643891724140302e-61, 4.5826240189146329e-24, 1.6266613759447451e-40, 2.5114281888769284e-08, 1.0466636609041261e-17, 3.5383503335559612e-12, 9.1404910042389256e-22, 2.1712647904491672e-27, 1.3905288531174218e-05, 7.1534576001439881e-34, 2.3690163793924403e-16, 4.6850729840499035e-06, 6.1211842830023566e-27, 9.2555225470831024e-95, 3.7599269707340831e-36, 9.9030352161116645e-16, 8.6693002947632942e-79, 4.4218682199421438e-23, 3.6646574517246541e-27, 5.5139995258829367e-85, 1.9547772496527953e-42, 2.385662844773246e-53, 
850.0, 0.0, 0.0, 0.0, 0.0, 1.0299100671719692, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0640049315057095e-16, 2.3720922133181826e-11, 3.0454946694105345e-75, 3.2328710039928211e-24, 1.734324172953559e-28, 0.83499989658946439, 1.3025060693356596e-74, 5.7075192971170249e-32, 0.77000020675820668, 2.9801357760195471e-58, 1.0309938066000114e-22, 1.4760581009468834e-38, 2.0671905299274299e-07, 2.0640246184648952e-16, 3.9145939733497015e-11, 5.7063588610246635e-20, 3.8139886952276312e-25, 5.917381100365972e-05, 1.0893925849132953e-31, 9.7885135077301738e-15, 1.5276129404344422e-05, 5.0352671819964604e-25, 4.9658558884590309e-89, 1.5015238541341785e-33, 1.2370906450217447e-14, 3.8535234966650091e-74, 1.9650816482775107e-21, 2.8739733121135279e-25, 7.6417857074920551e-80, 1.8132727888378392e-39, 5.8325440378862508e-50, 
900.0, 0.0, 0.0, 0.0, 0.0, 1.029701363032538, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9128766300524497e-15, 1.3533740892047901e-10, 4.2825556852291959e-71, 1.2733468389924652e-22, 9.0736690634445274e-27, 0.83499933635490697, 1.2932291474130222e-70, 4.7226525972783663e-30, 0.77000132682803712, 3.4955320039679569e-55, 1.6480398687164075e-21, 8.2014909584949484e-37, 1.3265008208596552e-06, 2.912933551312616e-15, 3.2681187007798089e-10, 2.2240771882236295e-18, 3.6856987550551992e-23, 0.00021195672490504315, 9.4932458498609107e-30, 2.5929520359444961e-13, 4.2676707201496816e-05, 2.5491406354355016e-23, 6.2506011745655368e-84, 3.0607266383972639e-31, 1.1699399241775615e-13, 5.2892735793579626e-70, 5.6757068498857269e-20, 1.3964595157178477e-23, 2.8911741694515063e-75, 7.8345790228590157e-37, 6.0542689980158742e-47, 
950.0, 0.0, 0.0, 0.0, 0.0, 1.0292425224900152, 0.0, 0.0, 0.0, 0.21700599380383842, 0.0, 3.0535264742398079e-14, 5.990810551720817e-10, 1.8230878964309775e-67, 3.5764971398600679e-21, 1.5073697870303243e-25, 0.8349961281097581, 4.3314818329349703e-67, 2.7701778816119766e-28, 0.55300174678270186, 1.2427666235473885e-52, 1.0186842889869772e-20, 2.0451156948430827e-35, 7.7379785025288344e-06, 3.0536137500536469e-14, 2.5948635210255487e-09, 4.6925241375898545e-17, 1.9738081965892109e-21, 0.00056836209667644798, 3.929404277302257e-28, 6.8640142315032132e-12, 9.0687413092040291e-05, 5.3243842428540965e-22, 1.2653504234541702e-79, 2.504028771873922e-29, 5.8445957699552837e-13, 1.5825984089438259e-66, 8.672078331439808e-19, 2.0216781925139152e-22, 1.4352382608528541e-71, 9.0315448534022865e-35, 9.7786263606671763e-45, 
1000.0, 0.0, 0.0, 0.0, 0.0, 1.0279309982733218, 0.0, 0.0, 0.0, 0.76070395241989164, 0.0, 1.0169547064012679e-12, 1.9077016581873936e-09, 4.8879889111952214e-65, 3.4523696865595401e-19, 9.712607921060907e-28, 0.8345625023816392, 1.12179529665277e-64, 6.2218037762892568e-26, 0.010170576834378751, 1.0589580620167061e-52, 3.2333725172417042e-23, 1.9107405293986365e-36, 0.00087386442329911854, 1.0169564849327328e-12, 4.6407475069940344e-07, 4.1869099780965376e-16, 2.3404435909264071e-19, 0.000950601920369578, 1.3426540975138044e-27, 1.0037762758581336e-07, 0.00012193527599327316, 1.4177244387984261e-22, 2.8566195825794785e-78, 1.3093073301608971e-28, 5.1423672605415781e-14, 7.6578997892211933e-66, 1.1992500762621974e-18, 9.603531336074051e-25, 2.2685537983463635e-72, 1.5962129412701464e-35, 1.012548586622178e-47, 
1050.0, 1.0295241749696997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.799951057915399, 0.0, 1.6207677588290757e-12, 2.5975328688113923e-09, 3.27594489833897e-62, 1.1547146446426314e-18, 8.8931043601297413e-31, 0.32000180945285295, 5.8604264815610476e-62, 3.5952248548184312e-25, 4.5015038526785842e-05, 1.3441267544385621e-52, 1.2554555052903585e-26, 2.6399686991495943e-37, 0.00047148094555150703, 1.6207689568035551e-12, 3.0554283588375054e-07, 9.7627657095092869e-18, 6.3571032498935059e-21, 3.9234301905942783e-06, 9.4315095041303885e-29, 5.574710949053883e-08, 1.8079413311788761e-09, 1.0905391944466328e-23, 1.0883651035239431e-76, 1.6703141184779336e-29, 1.1671048608098358e-15, 5.8207021985208105e-65, 3.6902372208508484e-20, 8.2982457530313243e-28, 4.1645937161946008e-73, 4.0798301773724093e-38, 9.4809367569092066e-52, 
1100.0, 1.0298694432358222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7999998201167131, 0.0, 2.6865528382876166e-12, 8.2751378376513943e-09, 6.5439092738328222e-59, 3.7208402758003448e-18, 1.9093420745313582e-34, 0.31999994691816991, 9.2812575861005443e-59, 1.8944322265219159e-24, 1.7695711059612267e-07, 2.0279346691906971e-52, 1.2293219658397636e-30, 5.2742576759888154e-38, 0.00013044667367325953, 2.6865565595217627e-12, 1.0081469950826131e-07, 3.5313263206052331e-20, 1.1803308704746262e-23, 2.9261758077525425e-09, 2.0708364520090901e-30, 3.1734711711646499e-09, 3.6715642019393474e-16, 5.8214953232986544e-25, 3.6636179914559598e-75, 6.3103056427879355e-31, 2.0405513096348673e-17, 4.4975330019908665e-64, 3.8017247273533497e-22, 1.6999790373255294e-31, 2.4918196280241481e-74, 1.0013097024916182e-41, 5.8614354970382895e-57, 
1150.0, 1.0299731805745775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.799999999798388, 0.0, 3.4825098964474453e-12, 2.3876452004935896e-08, 8.3226104949610616e-56, 8.8140107834296449e-18, 2.7330659113992897e-39, 0.31999997590290541, 9.5417464845688985e-56, 7.0283036257602777e-24, 2.0112726820276599e-10, 6.4910806530023072e-53, 8.5893065510632952e-36, 2.6633316295632846e-39, 2.6794899379767656e-05, 3.4825187104661075e-12, 2.4318222836559303e-08, 2.4730232216979201e-23, 3.6531764952482074e-27, 4.8471792351192903e-13, 9.2624546354226305e-33, 1.0192663290953894e-10, 4.013641574855527e-24, 7.1823785592016879e-27, 2.0026352389071703e-74, 4.613314778616973e-33, 9.0717122630287944e-20, 6.4052019124047343e-64, 8.4719849713548521e-25, 2.3333400515262239e-36, 7.503385398475958e-77, 1.3173676832505865e-46, 5.8914446315603678e-64, 
1200.0, 1.0299959716064755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7999999999999441, 0.0, 3.544788283183016e-12, 6.3149631992094544e-08, 7.3149183032492572e-53, 1.5537375401581092e-17, 1.9255020205725898e-45, 0.31999996630894179, 6.8973377458355382e-53, 1.8690251955716812e-23, 5.6004117484810573e-14, 3.9840548769660574e-54, 3.1355394230837024e-42, 3.0070090759124729e-41, 4.0241539208148559e-06, 3.5448038205771079e-12, 4.2324850713205458e-09, 2.8339778140972422e-27, 1.5815772288744321e-31, 1.4819940532061971e-17, 7.2757114589955274e-36, 1.7869749468957855e-12, 1.6143474359181896e-33, 1.7833813724575341e-29, 1.6602017415869779e-74, 5.6621575017744627e-36, 8.8268020640732857e-23, 1.5460864807506734e-64, 3.4951628869262396e-28, 1.5826004218593967e-42, 8.919974565230292e-81, 6.865744298868042e-53, 6.148423604639736e-73, 
1250.0, 1.0299995645021993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0, 2.8394504334419446e-12, 1.5468495482992921e-07, 4.7685188827227596e-50, 2.0562783705223127e-17, 4.7972578306367433e-53, 0.31999992239548442, 3.7550670884996511e-50, 3.6107686817435548e-23, 3.2004630682886506e-18, 4.1537617414942455e-56, 4.2666792707195531e-50, 6.6026256516851231e-44, 4.3497085125862536e-07, 2.8394709962617575e-12, 5.2407696681582857e-10, 4.4295826745273831e-32, 7.9223313775503738e-37, 6.8715317564050666e-23, 8.5186605743072859e-40, 1.6531113699627643e-14, 1.5983442985182679e-44, 7.6413437707745989e-33, 1.9012800250115015e-75, 9.9565210041221829e-40, 1.5958469189569121e-26, 5.685993399820242e-66, 2.2518910102567782e-32, 3.8087641094637219e-50, 3.1710620327242465e-86, 1.0178336750254839e-60, 4.0815195244297386e-84, 
