z (m), u (m/s), V (1/s), T (K), rho (kg/m3, H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, AR, N2, 
0.0, 0.0530387257619, 2.98152281198e-23, 300.0, 1.1312488966910108, 3.62613280591e-17, -4.2561577316e-19, 2.677718965e-20, 0.191780821918, 2.435367489e-19, 5.55888784094e-14, 1.85630161901e-21, 7.76149742328e-21, 1.22502602481e-18, -7.01598868724e-37, 4.34370722606e-19, 4.77123444485e-34, 2.39837779929e-19, 0.0867579908675, 5.81878336508e-20, 5.73031974781e-16, 7.54235657024e-28, 4.12284462804e-20, 4.62230198153e-43, 1.14938473203e-33, 1.3735382175e-21, -2.25847019169e-19, 2.28913971235e-21, 4.88763612411e-19, 5.86813316051e-22, 3.24625329619e-32, -6.18731416852e-19, -2.43236817427e-41, -2.89395411197e-28, 1.19697155577e-28, 0.00913242009132, 0.712328767123, 
0.01, 0.0523896049157, 0.0649120846951, 300.000000005, 1.1312488966736609, 8.6755762703e-16, 3.60026568598e-26, 4.62287321738e-19, 0.191780821917, 4.01616172777e-22, 1.35400016073e-12, 4.91324626844e-20, 2.06779204793e-19, 3.95203337176e-26, -2.15131399425e-45, 2.86033602788e-25, 1.14396806346e-32, 5.87681163427e-18, 0.0867579908668, 1.54258268374e-18, 1.97574658196e-14, 2.61099541633e-26, 1.43871331685e-18, 1.62437544304e-41, 4.03910748213e-32, 6.5210161889e-21, -4.41855904128e-27, 6.28608709346e-21, 1.11810055723e-25, 2.41320660262e-20, 1.18324889831e-30, -3.24658053941e-20, -5.33050493195e-40, -2.83622619393e-28, 1.2071015051e-28, 0.00913242009132, 0.712328767123, 
0.02, 0.0504422423938, 0.129824169418, 300.000000115, 1.1312488962527985, 7.27615410254e-15, 2.56137073147e-31, 1.57467501036e-19, 0.191780821906, 9.2528176076e-23, 3.26087167269e-11, 1.09161665567e-18, 1.53036625638e-18, 1.23019904195e-33, 2.13424358764e-45, 1.81634541425e-31, -5.96898972091e-37, 1.02816762373e-16, 0.0867579908488, 2.5661603575e-18, 6.7334697505e-13, 1.2891791275e-32, 3.01210497963e-17, 1.54149917998e-40, 2.15880077556e-29, 1.87352963703e-19, -8.33335749655e-35, 6.44846255583e-21, 2.46561865182e-32, 8.12903790365e-19, -4.89002677731e-29, 1.21403880915e-17, -1.87942536423e-40, -5.3708147359e-29, 1.61054915771e-28, 0.0091324200913, 0.712328767121, 
0.03, 0.0471966385788, 0.194736254857, 300.000002691, 1.1312488864082906, 5.50828455546e-14, -1.0732065109e-30, 5.14328022581e-20, 0.191780821609, 3.02179941287e-23, 7.58153941874e-10, 3.70058030045e-17, 3.02868383554e-17, 3.59718345742e-41, -1.90762333452e-48, -2.06547525718e-34, -9.52637290257e-36, 1.85765463253e-15, 0.0867579904427, 2.84233122337e-17, 2.21371484142e-11, 6.63809614143e-36, 9.83429084593e-16, 1.76402073618e-39, 1.27912447171e-26, 6.31060420539e-18, -1.47381655231e-42, 1.15057486329e-20, 5.44576634197e-39, 2.62882845743e-17, -7.56736334177e-28, 8.14340476834e-16, -1.22046319973e-40, 8.77132363288e-27, 1.70964747776e-27, 0.00913242009077, 0.712328767077, 
0.04, 0.042652801096, 0.259648357654, 300.000059202, 1.1312486703455156, 3.91839549671e-13, -2.18187470339e-29, 1.5739671205e-20, 0.191780814491, 1.19582098449e-23, 1.65638869643e-08, 9.100376479e-16, 7.03506058449e-16, 2.70109856412e-44, -1.39064917708e-44, -4.08937981602e-33, -1.88666702125e-34, 3.26532843924e-14, 0.0867579818508, 6.41250376976e-16, 6.83033402891e-10, 1.2831624751e-33, 3.06909366158e-14, 9.28489683352e-38, 5.51618580149e-24, 2.00706321077e-16, -2.36593047993e-50, 1.59209500396e-19, 1.81785424272e-37, 7.97778331252e-16, -1.48780696448e-26, 3.29525462133e-14, -5.79350927774e-40, 3.26283409833e-25, 5.74258065719e-26, 0.00913242008174, 0.712328766329, 
0.05, 0.0368108615779, 0.324560839258, 300.001185085, 1.1312443649200725, 2.5680338338e-12, -4.38118673308e-28, 4.36444511461e-21, 0.191780659101, 8.88940187039e-22, 3.29256896982e-07, 2.00270129987e-14, 1.50758143369e-14, 1.50740329886e-35, -6.02140159959e-43, -6.5675446095e-32, -2.93880877158e-33, 4.94993596417e-13, 0.0867578167165, 1.38261823138e-14, 1.91372159248e-08, 5.37339271549e-31, 8.70181841313e-13, 3.80089292899e-35, 1.83676993187e-21, 5.79674900355e-15, 9.87315783079e-50, 4.07195573711e-18, 7.60791211774e-35, 2.198626362e-14, -2.95939792073e-25, 1.10330530489e-12, -4.04753885665e-39, 1.06806414126e-23, 1.8743805894e-24, 0.00913241995325, 0.71232875583, 
0.06, 0.0296726645881, 0.389480232101, 300.020697701, 1.1311697609790099, 1.50022680533e-11, -6.12247405386e-27, 7.69166208141e-22, 0.191777705285, 1.88485423482e-19, 5.71059428549e-06, 3.84457706776e-13, 2.81464261423e-13, -1.12408784848e-35, 5.91606837227e-41, 3.64496588789e-29, 1.90062501813e-30, 5.50480227323e-12, 0.0867550543861, 2.60436743938e-13, 4.663543629e-07, 1.65058597704e-28, 2.14573007958e-11, 3.00317203848e-32, 3.91057361343e-19, 1.45582399681e-13, 4.99331070465e-46, 9.40562853374e-17, 2.10971653751e-32, 5.27080392537e-13, -4.20668860677e-24, 3.1000155741e-11, 8.43827391552e-38, 3.03496300452e-22, 5.32568891553e-23, 0.00913241858402, 0.712328644722, 
0.065, 0.0256253061257, 0.421978163364, 300.126757303, 1.1307646258400545, 3.89286903577e-11, -1.63155695946e-26, -4.72616491588e-21, 0.191760116704, 3.81190936701e-18, 3.47572153458e-05, 2.56131267461e-12, 1.82274210459e-12, -1.19732844309e-35, 8.9921966426e-40, 2.30606840897e-27, 1.19871808943e-28, 1.67401256306e-11, 0.0867405371131, 1.70297570503e-12, 3.82956584425e-06, 6.84114683566e-27, 1.78069372394e-10, 3.59237677441e-30, 7.92208907208e-18, 1.22828236637e-12, 8.26128289988e-44, 7.37156583891e-16, 6.38694220626e-31, 4.26512659012e-12, -1.53546832009e-23, 2.82162204749e-10, 1.1603635327e-35, 2.8634679422e-21, 5.0247397622e-22, 0.00913241490832, 0.712328343966, 
0.07, 0.0212979057159, 0.454734436988, 300.834676773, 1.1280704179880012, 1.01959161771e-10, 4.37653296884e-25, -2.86315782918e-20, 0.19163205531, 8.18997679799e-17, 0.000227103340156, 1.82698860618e-11, 1.27902883868e-11, 4.73944037491e-35, 1.50411295417e-38, 1.51893477848e-25, 7.90479003177e-27, 5.12344235627e-11, 0.0866466564122, 1.20071209239e-11, 3.43047836092e-05, 7.14982622206e-25, 1.61262995194e-09, 6.5679745742e-28, 1.72235271079e-16, 1.13178502191e-11, 1.618214665e-41, 6.28872142588e-15, 4.04622303152e-29, 3.76224340694e-11, 9.36705010159e-23, 2.72561335697e-09, 1.10813175574e-33, 2.96516845901e-20, 5.20320124794e-21, 0.00913240468541, 0.712327470885, 
0.075, 0.016836403027, 0.488935156197, 304.852110888, 1.1130432613139183, 2.4887084421e-10, 2.27572530865e-23, 4.63303995854e-19, 0.190844234327, 1.29180050793e-15, 0.00130200021384, 1.13904967971e-10, 7.86095886018e-11, 7.01239776838e-34, -1.2413351905e-37, 6.59912145081e-24, 3.45953818101e-25, 1.41171470064e-10, 0.0861324219515, 7.40948345131e-11, 0.000265704386972, 7.79055557194e-23, 1.26125182002e-08, 8.05685168321e-26, 2.90073972671e-15, 9.00076040159e-11, 2.66563187771e-39, 4.64957009232e-14, 3.81556874182e-27, 2.87107874135e-10, 1.68789541997e-20, 2.24481571595e-08, 6.97439754578e-32, 2.63714474962e-19, 4.62759544986e-20, 0.00913235449942, 0.712323248526, 
0.08, 0.01261597762, 0.528644406482, 323.069704094, 1.0497676704323637, 5.35323049301e-10, 7.01600351572e-22, 9.08424404291e-18, 0.187076045573, 1.22031804821e-14, 0.00595369855628, 5.6838695153e-10, 3.85015185559e-10, 4.61759325026e-34, 4.95507538145e-37, 1.67748801192e-22, 9.06301885713e-24, 3.82640584359e-10, 0.0839302368167, 3.65079702856e-10, 0.00161549225822, 4.4785046235e-21, 7.7168653804e-08, 4.60194592206e-24, 3.57337441784e-14, 5.59666686813e-10, 6.48677227956e-37, 2.7069041108e-13, 2.93905776144e-25, 1.72035660674e-09, 8.94102713566e-19, 1.44082529245e-07, 2.0417053959e-30, 1.8233273773e-18, 3.19953152128e-19, 0.00913196117432, 0.712292339854, 
0.0825, 0.0107968925961, 0.551903250531, 348.168486005, 0.9737045870688199, 7.42342461093e-10, 4.60544477358e-21, 1.97739821838e-17, 0.181699168534, 3.30233622291e-14, 0.0119874199279, 1.22647424112e-09, 8.07247093539e-10, -2.2350617585e-34, -1.17605649796e-36, 8.65193120657e-22, 4.83532425281e-23, 7.42128227909e-10, 0.0810605229882, 7.73654430803e-10, 0.00388746089524, 3.02128577285e-20, 1.85741415313e-07, 2.98966727492e-23, 1.29585565972e-13, 1.36201964475e-09, 2.54023749897e-35, 6.33920657175e-13, 3.05315460285e-24, 4.09823531596e-09, 5.19659811802e-18, 3.58590327084e-07, 8.00824046212e-30, 4.75772094459e-18, 8.34875994709e-19, 0.00913118891558, 0.712233684654, 
0.085, 0.0092137960709, 0.575035378804, 393.710484956, 0.86087466040767369, 9.80304832178e-10, 3.95424580092e-20, 2.28359292276e-17, 0.171937486057, 7.13449239664e-14, 0.0220470677667, 2.44613892956e-09, 1.55170748376e-09, -1.77848336636e-35, 8.14124398062e-37, 3.75314191608e-21, 2.18901505943e-22, 1.55009445923e-09, 0.0761814144833, 1.50844284448e-09, 0.00855716739361, 1.63507100536e-19, 4.07120826488e-07, 1.47854075372e-22, 4.04266126965e-13, 3.01923321146e-09, 1.85339043588e-33, 1.35898501231e-12, 3.41611156516e-23, 8.92173247939e-09, 2.15193697164e-17, 8.15342671301e-07, 2.71412047011e-29, 1.13048254257e-17, 1.9837609468e-18, 0.00913000626879, 0.712145615588, 
0.0875, 0.00764996482145, 0.587558643951, 461.855354739, 0.7341201888336345, 1.23003015473e-09, 3.37903773306e-18, 1.89123036106e-17, 0.157442896446, 1.27231997994e-13, 0.0357884997818, 4.32884127331e-09, 2.62146816904e-09, 1.30017391041e-33, 2.76443799954e-35, 1.35437924676e-20, 8.09376652638e-22, 3.30052143304e-09, 0.0692914928379, 2.59472192336e-09, 0.0162269382839, 8.75988889233e-19, 7.64856965274e-07, 6.53623497372e-22, 9.61002282685e-13, 5.73030070239e-09, 1.47704445988e-31, 2.52137962643e-12, 4.72185494241e-22, 1.673790736e-08, 7.24567071031e-17, 1.58642681607e-06, 8.3541674163e-29, 2.2739554288e-17, 3.99036902447e-18, 0.00912960172231, 0.712118183096, 
0.09, 0.00588148691354, 0.572868639429, 547.142524375, 0.6204346339483684, 1.47720779027e-09, 4.52579829665e-16, 1.09336545665e-16, 0.139239098171, 2.21764301533e-13, 0.0518302382506, 6.82848205779e-09, 3.91936906791e-09, -1.76398861126e-32, 5.24328211414e-34, 4.89625284209e-20, 2.85256176018e-21, 7.00805192662e-09, 0.0609217971781, 3.95709758394e-09, 0.0266211447358, 7.06237097175e-18, 1.23867217072e-06, 5.70284312387e-21, 1.80320156947e-12, 9.36326916949e-09, 7.99493972336e-30, 4.06687236854e-12, 8.50046528892e-21, 2.7191447558e-08, 3.25420833676e-16, 2.65038764965e-06, 1.54036164737e-27, 3.88650980176e-17, 6.8202972993e-18, 0.00913133577908, 0.712252437075, 
0.09125, 0.00490577374161, 0.548930231898, 592.878050465, 0.57310981807400374, 1.60236217872e-09, 3.69481405827e-15, 7.00823138533e-16, 0.128915635955, 3.29607086241e-13, 0.0605418685576, 8.33118893923e-09, 4.63403862611e-09, -2.10212767624e-32, 7.28923464974e-33, 1.12772378111e-19, 6.30129134152e-21, 1.06636653047e-08, 0.0562431600787, 4.72452872632e-09, 0.0327670163927, 2.31734385816e-17, 1.51293628637e-06, 2.4091012785e-20, 2.43887446412e-12, 1.14822547944e-08, 5.21101884918e-29, 4.97036960726e-12, 3.70259893685e-20, 3.3314732888e-08, 8.89412075696e-16, 3.28373956644e-06, 1.63554361776e-26, 4.856647573e-17, 8.52303301113e-18, 0.00913320384841, 0.712394243731, 
0.0925, 0.00390611910608, 0.512022299808, 639.473281115, 0.53194505821819704, 1.72424379231e-09, 2.25308280647e-14, 4.15872707547e-15, 0.118254282634, 5.39566331809e-13, 0.0693192567517, 9.95509234685e-09, 5.35570797758e-09, -2.25927788443e-32, 1.15628389513e-31, 2.9390591474e-19, 1.54692637976e-20, 1.62435612421e-08, 0.051442104143, 5.50627927163e-09, 0.0392660343975, 7.51909866001e-17, 1.79829772963e-06, 1.0342846119e-19, 3.11114862141e-12, 1.36945101826e-08, 3.17778984514e-28, 5.91909864667e-12, 1.51049364033e-19, 3.97489360983e-08, 2.61136797901e-15, 3.95469171534e-06, 1.56069444584e-25, 5.89056777876e-17, 1.03379826211e-17, 0.00913562767878, 0.712576849168, 
0.09375, 0.00292254765381, 0.461322103992, 685.973486509, 0.49650803037639868, 1.84208235718e-09, 1.03768532727e-13, 2.09302355482e-14, 0.107469914215, 1.02814353694e-12, 0.0780286352683, 1.16878622423e-08, 6.06358421933e-09, -1.73992353666e-31, 1.78301087165e-30, 9.24326832129e-19, 4.50942151429e-20, 2.50913413256e-08, 0.0466019788322, 6.26717592971e-09, 0.045960977065, 2.38520859969e-16, 2.08684036472e-06, 4.12914482514e-19, 3.72530001863e-12, 1.59311531457e-08, 1.93229196309e-27, 6.89043412616e-12, 5.78032118985e-19, 4.63362763413e-08, 7.92404355793e-15, 4.64483636206e-06, 1.22441821404e-24, 6.9598833658e-17, 1.22156075733e-17, 0.00913851601762, 0.712793133694, 
0.095, 0.00200322817657, 0.396492290734, 731.678899499, 0.46611788919583214, 1.95260961177e-09, 3.75874593214e-13, 8.83522233878e-14, 0.0967315721838, 2.31816298637e-12, 0.0865762069163, 1.35247197984e-08, 6.73063536402e-09, 2.46375843164e-31, 2.71684859933e-29, 3.56622765601e-18, 1.59411679045e-19, 3.98167290406e-08, 0.0417875875176, 6.94831632828e-09, 0.0527192078802, 7.45047323062e-16, 2.37120691553e-06, 1.48826875615e-18, 4.25359039365e-12, 1.81244754921e-08, 1.20757455506e-26, 7.86494819662e-12, 2.10806085059e-18, 5.29395767811e-08, 2.45097361397e-14, 5.33748662017e-06, 7.83113479624e-24, 8.04007805091e-17, 1.41135579203e-17, 0.00914177368208, 0.713035803075, 
0.09625, 0.00120000622269, 0.317575856355, 776.126920534, 0.44003495069687804, 2.04097610635e-09, 1.15460972597e-12, 3.24527970027e-13, 0.0861611740363, 6.02106540636e-12, 0.0949022999071, 1.54719344235e-08, 7.31221599937e-09, 7.2501779638e-31, 4.28674299533e-28, 1.65570950083e-17, 6.72856184147e-19, 6.59559757191e-08, 0.0370454438198, 7.42987077751e-09, 0.059438585484, 2.32442251977e-15, 2.64376172045e-06, 4.89524249852e-18, 4.86181707267e-12, 2.02086382457e-08, 7.67284692539e-26, 8.82578166878e-12, 7.51868546723e-18, 5.94354578089e-08, 7.80785108718e-14, 6.01718527758e-06, 4.25410087766e-23, 9.11106800541e-17, 1.59984205095e-17, 0.00914531446992, 0.713298343459, 
0.096875, 0.000858142045811, 0.272916057412, 797.767745016, 0.42840296056169036, 2.05629090226e-09, 2.0027780645e-12, 6.15921924278e-13, 0.0808967856805, 1.03496071704e-11, 0.0990257858218, 1.650913583e-08, 7.54641433609e-09, 2.71141567902e-30, 1.88961688781e-27, 3.97843754757e-17, 1.53616164028e-18, 8.86482051036e-08, 0.0346804598461, 7.49210026389e-09, 0.0628032107118, 4.20696466513e-15, 2.77345033293e-06, 8.79249793179e-18, 5.4241150646e-12, 2.11969098189e-08, 1.98044918338e-25, 9.30075818998e-12, 1.45452570049e-17, 6.26327605314e-08, 1.45843331061e-13, 6.35003518458e-06, 9.75915538608e-23, 9.64349126251e-17, 1.69386711395e-17, 0.00914719355681, 0.713437234788, 
0.0975, 0.000564841553299, 0.224856567547, 819.012712165, 0.41758782343106715, 2.03501255333e-09, 3.44697164985e-12, 1.15632883692e-12, 0.0757039474178, 1.82397562733e-11, 0.103080821092, 1.75808266599e-08, 7.72924388714e-09, -1.3211065081e-28, 8.67551647958e-27, 1.00012363554e-16, 3.66258668226e-18, 1.2142491637e-07, 0.0323449812234, 7.3638205539e-09, 0.0661322566801, 7.65627353374e-15, 2.89535314407e-06, 1.5730555883e-17, 6.19488866226e-12, 2.21280665393e-08, 5.11058717917e-25, 9.7641569933e-12, 2.83480334814e-17, 6.5736477959e-08, 2.78136014552e-13, 6.67137834565e-06, 2.20534198502e-22, 1.01656702246e-16, 1.78645289614e-17, 0.00914911629809, 0.71357906652, 
0.098125, 0.000326379237396, 0.173464067079, 839.85466011, 0.40751478786186141, 1.94594468652e-09, 5.98601297838e-12, 2.18058870004e-12, 0.0705864041033, 3.3174311014e-11, 0.107066974283, 1.86846292439e-08, 7.85102845055e-09, -4.48451093773e-35, 4.29297560475e-26, 2.67608184252e-16, 9.27692261362e-18, 1.71193101789e-07, 0.030040417376, 6.93195488632e-09, 0.0694215160323, 1.41343576778e-14, 3.00638892646e-06, 2.84732689131e-17, 7.3375573303e-12, 2.29874903049e-08, 1.3295000227e-24, 1.02110213473e-11, 5.63033365771e-17, 6.87014204312e-08, 5.49688741421e-13, 6.97556719673e-06, 4.98848735358e-22, 1.06730041369e-16, 1.8770432985e-17, 0.0091510758074, 0.713723332087, 
0.09875, 0.000148855217319, 0.118808655382, 860.294316763, 0.39811474961272569, 1.73121740091e-09, 1.06727060426e-11, 4.19623360858e-12, 0.0655458366834, 6.2890522329e-11, 0.110984914754, 1.98049146137e-08, 7.90779519636e-09, 1.5473272192e-34, 2.38398591808e-25, 7.79750879221e-16, 2.55341441754e-17, 2.51468370116e-07, 0.0277673780405, 6.00714567269e-09, 0.0726684829768, 2.67672999889e-14, 3.10168761867e-06, 5.34051797192e-17, 9.13615876435e-12, 2.37536728295e-08, 3.52653310908e-24, 1.06329161574e-11, 1.15489687293e-16, 7.14462144466e-08, 1.14782814475e-12, 7.25218136041e-06, 1.14819523458e-21, 1.11570102898e-16, 1.96456727823e-17, 0.00915306600284, 0.713869585455, 
0.0990625, 8.47823328847e-05, 0.0902812652607, 870.36458342, 0.39364821835240738, 1.53358373607e-09, 1.46554844398e-11, 5.97223720168e-12, 0.0630398486031, 8.93673993993e-11, 0.112930118934, 2.03546655498e-08, 7.9152115871e-09, 2.06806629858e-33, 6.17215833124e-25, 1.41959701494e-15, 4.51311290767e-17, 3.14498178283e-07, 0.0266360810496, 5.22965542812e-09, 0.0742851536538, 3.77509683801e-14, 3.14053751097e-06, 7.57205061478e-17, 1.05515263227e-11, 2.40899645121e-08, 5.88200834357e-24, 1.08296856046e-11, 1.70177766239e-16, 7.26815259831e-08, 1.73362248231e-12, 7.3725057368e-06, 1.78670136179e-21, 1.13849999116e-16, 2.00650506384e-17, 0.00915407675092, 0.713943761529, 
0.099375, 3.81459266952e-05, 0.0609647039035, 880.337722049, 0.38932642741740325, 1.25225799143e-09, 2.04114668052e-11, 8.61642095647e-12, 0.0605532979513, 1.29116091213e-10, 0.114858630126, 2.08781312095e-08, 7.91191306244e-09, 2.95875665911e-29, 1.67938725488e-24, 2.67506945642e-15, 8.2515427951e-17, 4.00031720282e-07, 0.0255127379917, 4.17653770577e-09, 0.0758907816818, 5.39268519014e-14, 3.1716851057e-06, 1.10428472374e-16, 1.2410745927e-11, 2.4385864197e-08, 9.92548119622e-24, 1.10127758504e-11, 2.54452807604e-16, 7.37820699075e-08, 2.68794774874e-12, 7.47476203362e-06, 2.83076069478e-21, 1.15987514148e-16, 2.04645034789e-17, 0.00915509306958, 0.714018280129, 
0.09953125, 2.15860880949e-05, 0.0460134104333, 885.288403923, 0.38721778063846829, 1.06635132357e-09, 2.4300982179e-11, 1.06058636565e-11, 0.0593137014359, 1.56999167881e-10, 0.115819473693, 2.11189175773e-08, 7.90827654319e-09, 2.06014593316e-25, 2.85684745957e-24, 3.75603500988e-15, 1.14086792391e-16, 4.56056364998e-07, 0.0249524234173, 3.50845530129e-09, 0.076691748788, 6.50469528724e-14, 3.18352882939e-06, 1.35706674753e-16, 1.3608717842e-11, 2.45146835289e-08, 1.35444987566e-23, 1.10975490268e-11, 3.142664147e-16, 7.42605155026e-08, 3.4101784342e-12, 7.51576287276e-06, 4.01322248392e-21, 1.1698507967e-16, 2.06538623543e-17, 0.00915560420073, 0.714055760519, 
0.0996875, 9.65111383055e-06, 0.0308681163737, 890.21551776, 0.385142680337763, 8.44582477355e-10, 2.88262378789e-11, 1.4603673354e-11, 0.0580789109497, 1.94879346704e-10, 0.11677621945, 2.13394830786e-08, 7.904264633e-09, 7.95922992069e-22, 4.99289723568e-24, 5.41639875598e-15, 1.61940433637e-16, 5.23190884904e-07, 0.0243940763866, 2.73108769127e-09, 0.0774899715241, 7.90764123635e-14, 3.19247714023e-06, 1.69528447149e-16, 1.50072388745e-11, 2.4628447194e-08, 1.71208839569e-23, 1.11767644593e-11, 3.91573361256e-16, 7.46789887104e-08, 4.47346315912e-12, 7.54816306112e-06, 4.91002322617e-21, 1.17920156436e-16, 2.08334009038e-17, 0.0091561166716, 0.714093308791, 
0.09984375, 2.42715326699e-06, 0.0155299619096, 895.119305904, 0.38310030454369359, 5.79875832097e-10, 3.24230890485e-11, 3.58097575935e-11, 0.0568488557742, 3.36992510515e-10, 0.117728934094, 2.15362183836e-08, 7.90103134383e-09, 3.28995034451e-18, 1.17755464737e-23, 1.08171355622e-14, 3.16971293024e-16, 6.04494236252e-07, 0.0238376670022, 1.82428556793e-09, 0.0782854880697, 1.03500538889e-13, 3.19806685266e-06, 2.44145639421e-16, 1.66657471316e-11, 2.47244759857e-08, 3.23235751733e-23, 1.12493334055e-11, 5.3584734802e-16, 7.50212292118e-08, 7.63956262866e-12, 7.56957506786e-06, 1.35401561e-20, 1.187835255e-16, 2.1001201237e-17, 0.00915663037847, 0.714130920518, 
0.099921875, 6.08574014368e-07, 0.00778889607899, 897.562545772, 0.38209116972785945, 4.28950679793e-10, 2.85701167426e-11, 1.12559654637e-10, 0.0562347390369, 1.67860299189e-09, 0.118204469633, 2.16297364948e-08, 7.90023130596e-09, 4.94154789946e-15, 7.65302813049e-23, 5.65995715393e-14, 1.63678518281e-15, 6.5033999427e-07, 0.0235598026511, 1.30733914729e-09, 0.0786827676102, 2.06657322671e-13, 3.19939366809e-06, 7.19512199817e-16, 1.75630671446e-11, 2.47636339118e-08, 1.68313777797e-22, 1.12824036271e-11, 1.23247022404e-15, 7.51451837316e-08, 1.88265728248e-11, 7.57493895621e-06, 4.37907628584e-20, 1.19173610707e-16, 2.1077880507e-17, 0.00915688751816, 0.714149775835, 
0.0999609375, 1.52360141586e-07, 0.00390041962461, 898.782007949, 0.38158958076660404, 3.49233688445e-10, 2.04844366987e-11, 2.26133411484e-10, 0.0559279094291, 6.9028162053e-09, 0.118442014586, 2.16655930871e-08, 7.90011476042e-09, 1.83148440943e-12, 5.62150066838e-22, 2.24617195805e-13, 6.83651936475e-15, 6.68834824094e-07, 0.0234209608161, 1.01287796486e-09, 0.078881301018, 5.66052650682e-13, 3.19967343871e-06, 2.51078637583e-15, 1.78566699181e-11, 2.47773483986e-08, 7.12291031685e-22, 1.12970712106e-11, 3.45753946885e-15, 7.51785029264e-08, 3.18220463211e-11, 7.5761071765e-06, 8.37281257458e-20, 1.19315752453e-16, 2.11062409386e-17, 0.00915701646412, 0.714159214975, 
0.1, 0.0, 0.0, 900.0, 0.38108997781961995, 2.67269684013e-10, 2.7437385547e-12, 3.10216063538e-11, 0.055621374715, 2.63825926692e-08, 0.118679267939, 2.1665889813e-08, 7.90022375877e-09, 4.50475033969e-10, -3.08373172133e-21, 2.24619908197e-13, 6.83660166023e-15, 6.68843089654e-07, 0.0232822567464, 2.42931690006e-14, 0.079079696067, 5.66061919632e-13, 3.19972640513e-06, 2.5108287717e-15, 1.78569727144e-11, 2.47777683392e-08, 7.12268979318e-22, 1.12972356636e-11, 3.45759728869e-15, 7.51797757792e-08, 3.18226348811e-11, 7.57624851994e-06, 8.37297683645e-20, 1.19315501796e-16, 2.11068293465e-17, 0.00915714613983, 0.714168656855, 
PT(S), 0.125391596805, 
H(S), 2.6811761763e-07, 
H2O(S), 3.13445222965e-05, 
OH(S), 0.00758220560432, 
CO(S), 3.84709869466e-05, 
CO2(S), 4.16444467006e-10, 
CH3(S), 3.10235406008e-09, 
CH2(S)s, 3.10235406008e-09, 
CH(S), 3.10235406008e-09, 
C(S), 1.36759303088e-07, 
O(S), 0.866955967481, 
